,regions_of_interest
0,C6_G_D_L
1,C6_G_D_R
2,C6_G_I_L
3,C6_G_I_R
4,C6_G_V_L
5,C6_G_V_R
6,C6_W_CST_L
7,C6_W_CST_R
8,C6_W_FC_L
9,C6_W_FC_R
10,C6_W_FG_L
11,C6_W_FG_R
12,C6_W_SL_L
13,C6_W_SL_R
14,C7_G_D_L
15,C7_G_D_R
16,C7_G_I_L
17,C7_G_I_R
18,C7_G_V_L
19,C7_G_V_R
20,C7_W_CST_L
21,C7_W_CST_R
22,C7_W_FC_L
23,C7_W_FC_R
24,C7_W_FG_L
25,C7_W_FG_R
26,C7_W_SL_L
27,C7_W_SL_R
28,C8_G_D_L
29,C8_G_D_R
30,C8_G_I_L
31,C8_G_I_R
32,C8_G_V_L
33,C8_G_V_R
34,C8_W_CST_L
35,C8_W_CST_R
36,C8_W_FC_L
37,C8_W_FC_R
38,C8_W_FG_L
39,C8_W_FG_R
40,C8_W_SL_L
41,C8_W_SL_R
42,T1_G_D_L
43,T1_G_D_R
44,T1_G_I_L
45,T1_G_I_R
46,T1_G_V_L
47,T1_G_V_R
48,T1_W_CST_L
49,T1_W_CST_R
50,T1_W_FC_L
51,T1_W_FC_R
52,T1_W_FG_L
53,T1_W_FG_R
54,T1_W_SL_L
55,T1_W_SL_R
