,K,Degree,Delta,F1,SS,Weights
0,2,4,0.0625,[0.328 0.612],0.2308648432246853,[0.58012033 0.41987967]
1,2,4,0.125,[0.339 0.605],0.2368748770620917,[0.48469755 0.51530245]
2,2,4,0.25,[0.504 0.443],0.057364675285865,[0.42819265 0.57180735]
3,2,4,0.5,[0.404 0.537],0.15664603165864519,[0.20206613 0.79793387]
4,2,4,1.0,[0.435 0.508],0.04514342324960715,[0.18433106 0.81566894]
5,2,4,2.0,[0.504 0.439],-0.045690879459878646,[0.80728222 0.19271778]
6,2,4,4.0,[0.45 0.5 ],-0.09908605400232329,[0.90492319 0.09507681]
7,2,4,8.0,[0.507 0.424],-0.17931726651415075,[0.9525194 0.0474806]
8,2,5,0.0625,[0.454 0.492],0.05949821680653607,[0.50459461 0.49540539]
9,2,5,0.125,[0.345 0.595],0.23750260535875553,[0.39697863 0.60302137]
10,2,5,0.25,[0.466 0.479],0.1239349440692715,[0.41881397 0.58118603]
11,2,5,0.5,[0.508 0.437],0.017059933595413947,[0.57581297 0.42418703]
12,2,5,1.0,[0.521 0.424],-0.0052466338231748465,[0.6252845 0.3747155]
13,2,5,2.0,[0.413 0.541],0.023087699020371492,[0.85421077 0.14578923]
14,2,5,4.0,[0.464 0.482],-0.09678965616070828,[0.90547178 0.09452822]
15,2,5,8.0,[0.583 0.279],-0.20172236531297452,[0.96310406 0.03689594]
16,2,6,0.0625,[0.407 0.538],0.46778474287860233,[0.54008096 0.45991904]
17,2,6,0.125,[0.537 0.404],0.24472672774099385,[0.57905916 0.42094084]
18,2,6,0.25,[0.571 0.36 ],0.08395160043067049,[0.64023842 0.35976158]
19,2,6,0.5,[0.491 0.455],0.0961124971878359,[0.64347141 0.35652859]
20,2,6,1.0,[0.487 0.458],0.03415319407251771,[0.70671391 0.29328609]
21,2,6,2.0,[0.404 0.537],-0.03660789671799131,[0.19454596 0.80545404]
22,2,6,4.0,[0.427 0.517],0.012517063242652261,[0.87874001 0.12125999]
23,2,6,8.0,[0.537 0.404],-0.2152928851819661,[0.97012823 0.02987177]
24,2,7,0.0625,[0.441 0.504],0.49533654191758786,[0.46621668 0.53378332]
25,2,7,0.125,[0.446 0.5  ],0.11546319040952764,[0.44730703 0.55269297]
26,2,7,0.25,[0.483 0.462],0.295397044459725,[0.75493966 0.24506034]
27,2,7,0.5,[0.475 0.471],0.0767292892514909,[0.32251631 0.67748369]
28,2,7,1.0,[0.404 0.537],0.07184391020916697,[0.21280045 0.78719955]
29,2,7,2.0,[0.533 0.41 ],-0.03127008838620252,[0.83321854 0.16678146]
30,2,7,4.0,[0.504 0.434],-0.06794113593931665,[0.94764668 0.05235332]
31,2,7,8.0,[0.553 0.386],-0.03532863291787296,[0.90477325 0.09522675]
32,2,8,0.0625,[0.479 0.467],0.013658312439024246,[0.49538662 0.50461338]
33,2,8,0.125,[0.512 0.429],0.39228876358017895,[0.78376778 0.21623222]
34,2,8,0.25,[0.431 0.512],0.2528196451538804,[0.29764594 0.70235406]
35,2,8,0.5,[0.426 0.522],0.16285916730521205,[0.22464362 0.77535638]
36,2,8,1.0,[0.441 0.504],0.08481521701699743,[0.17466343 0.82533657]
37,2,8,2.0,[0.411 0.523],-0.08772508823824722,[0.06182436 0.93817564]
38,2,8,4.0,[0.27  0.595],-0.12848211154689348,[0.03414348 0.96585652]
39,2,8,8.0,[0.464 0.48 ],0.004600919322241676,[0.5719085 0.4280915]
40,2,9,0.0625,[0.496 0.448],0.4436687063898693,[0.55807988 0.44192012]
41,2,9,0.125,[0.521 0.424],0.3855280811275103,[0.80632282 0.19367718]
42,2,9,0.25,[0.483 0.462],0.2682434255919598,[0.71183209 0.28816791]
43,2,9,0.5,[0.483 0.463],0.002199180557750158,[0.42932223 0.57067777]
44,2,9,1.0,[0.479 0.467],0.031923926494649264,[0.55276295 0.44723705]
45,2,9,2.0,[0.397 0.545],0.002831473736908428,[0.38157527 0.61842473]
46,2,9,4.0,[0.425 0.516],-0.18942152440405075,[0.02985014 0.97014986]
47,2,9,8.0,[0.425 0.516],-0.1976650472116778,[0.02879983 0.97120017]
48,2,10,0.0625,[0.5   0.444],0.3996087187228873,[0.5396669 0.4603331]
49,2,10,0.125,[0.52  0.421],0.3190623335260775,[0.55777754 0.44222246]
50,2,10,0.25,[0.55  0.393],0.3252113650636848,[0.81408059 0.18591941]
51,2,10,0.5,[0.427 0.517],0.03198331975744368,[0.57632789 0.42367211]
52,2,10,1.0,[0.475 0.471],0.01685033386564613,[0.48588998 0.51411002]
53,2,10,2.0,[0.427 0.507],-0.13967203546558357,[0.05298084 0.94701916]
54,2,10,4.0,[0.464 0.48 ],-0.21839702102519679,[0.02802134 0.97197866]
55,2,10,8.0,[0.464 0.48 ],-0.21839702102519679,[0.02799997 0.97200003]
56,2,11,0.0625,[0.561 0.362],0.4563487583388528,[0.84472619 0.15527381]
57,2,11,0.125,[0.54  0.396],0.37953062641008883,[0.79386306 0.20613694]
58,2,11,0.25,[0.496 0.45 ],0.3100084576875331,[0.73890385 0.26109615]
59,2,11,0.5,[0.482 0.464],0.04564186333347997,[0.58258144 0.41741856]
60,2,11,1.0,[0.397 0.545],-0.016662499607961595,[0.37541202 0.62458798]
61,2,11,2.0,[0.392 0.529],-0.18802742504581588,[0.04439833 0.95560167]
62,2,11,4.0,[0.45  0.492],-0.2312822490173814,[0.02773291 0.97226709]
63,2,11,8.0,[0.526 0.404],0.1344081735629576,[0.931074 0.068926]
64,2,12,0.0625,[0.528 0.411],0.42496745394558977,[0.57205355 0.42794645]
65,2,12,0.125,[0.585 0.351],0.38582163421671584,[0.80299554 0.19700446]
66,2,12,0.25,[0.525 0.42 ],0.33142958047699345,[0.80586946 0.19413054]
67,2,12,0.5,[0.484 0.46 ],0.19127760066638863,[0.81802121 0.18197879]
68,2,12,1.0,[0.354 0.581],-0.025410294019927494,[0.3495176 0.6504824]
69,2,12,2.0,[0.344 0.556],-0.20191866115941884,[0.03734386 0.96265614]
70,2,12,4.0,[0.436 0.504],-0.248515928358229,[0.02720001 0.97279999]
71,2,12,8.0,[0.493 0.442],0.34635364613266273,[0.98693438 0.01306562]
72,2,13,0.0625,[0.565 0.372],0.46474713994120104,[0.75747777 0.24252223]
73,2,13,0.125,[0.555 0.39 ],0.3551397098446159,[0.68932801 0.31067199]
74,2,13,0.25,[0.508 0.435],0.17574471599626837,[0.62786477 0.37213523]
75,2,13,0.5,[0.478 0.468],0.08000484828317372,[0.64984114 0.35015886]
76,2,13,1.0,[0.362 0.579],-0.032199279360352766,[0.32154363 0.67845637]
77,2,13,2.0,[0.308 0.575],-0.20914294495308738,[0.03446068 0.96553932]
78,2,13,4.0,[0.535 0.35 ],0.399361968420139,[0.99247454 0.00752546]
